SOC (%), Capacity (mAh), Current (A), Voltage (V), Time
9.76544,0.00976544,0.0648047,3.4985,00:13:05
9.67999,0.00967999,0.0615234,3.49797,00:13:05
9.59227,0.00959226,0.0631641,3.49743,00:13:05
9.50682,0.00950682,0.0615234,3.4969,00:13:05
9.42023,0.00942023,0.0623437,3.49636,00:13:05
9.33364,0.00933364,0.0623437,3.49583,00:13:05
9.24477,0.00924477,0.0639844,3.49527,00:13:05
9.15818,0.00915818,0.0623437,3.49471,00:13:06
9.07046,0.00907046,0.0631641,3.49415,00:13:06
8.98728,0.00898728,0.0598828,3.4936,00:13:06
8.90525,0.00890525,0.0590625,3.49304,00:13:06
8.82094,0.00882094,0.0607031,3.49245,00:13:06
8.73549,0.00873549,0.0615234,3.49184,00:13:06
8.65119,0.00865118,0.0607031,3.49122,00:13:06
8.56915,0.00856915,0.0590625,3.49059,00:13:06
8.48598,0.00848598,0.0598828,3.48993,00:13:06
8.40623,0.00840623,0.0574219,3.48928,00:13:06
8.32534,0.00832534,0.0582422,3.48859,00:13:06
8.24445,0.00824445,0.0582422,3.48788,00:13:06
8.16355,0.00816355,0.0582422,3.48714,00:13:06
8.08266,0.00808266,0.0582422,3.48636,00:13:06
8.00177,0.00800177,0.0582422,3.48556,00:13:06
7.9243,0.0079243,0.0557812,3.48476,00:13:06
7.84568,0.00784568,0.0566016,3.48391,00:13:06
7.76821,0.00776821,0.0557812,3.48304,00:13:06
7.69187,0.00769188,0.0549609,3.48214,00:13:06
7.61554,0.00761554,0.0549609,3.48122,00:13:06
7.53807,0.00753807,0.0557812,3.48023,00:13:07
7.46287,0.00746287,0.0541406,3.47924,00:13:07
7.38768,0.00738768,0.0541406,3.47821,00:13:07
7.31248,0.00731248,0.0541406,3.47714,00:13:07
7.23729,0.00723729,0.0541406,3.47603,00:13:07
7.16323,0.00716323,0.0533203,3.47489,00:13:07
7.09031,0.00709031,0.0525,3.47372,00:13:07
7.01854,0.00701854,0.0516797,3.47253,00:13:07
6.94676,0.00694676,0.0516797,3.4713,00:13:07
6.87612,0.00687612,0.0508594,3.47004,00:13:07
6.80548,0.00680548,0.0508594,3.46874,00:13:07
6.73598,0.00673598,0.0500391,3.46742,00:13:07
6.66535,0.00666535,0.0508594,3.46602,00:13:07
6.59585,0.00659585,0.0500391,3.4646,00:13:07
6.52749,0.00652749,0.0492187,3.46316,00:13:07
6.45799,0.00645799,0.0500391,3.46165,00:13:07
6.39077,0.00639077,0.0483984,3.46013,00:13:07
6.32469,0.00632469,0.0475781,3.4586,00:13:07
6.25861,0.00625861,0.0475781,3.45702,00:13:07
6.19594,0.00619594,0.0451172,3.45547,00:13:07
6.13214,0.00613214,0.0459375,3.45386,00:13:08
6.06834,0.00606834,0.0459375,3.45219,00:13:08
6.00454,0.00600454,0.0459375,3.45048,00:13:08
5.94188,0.00594188,0.0451172,3.44876,00:13:08
5.88035,0.00588035,0.0442969,3.44701,00:13:08
5.81883,0.00581883,0.0442969,3.44523,00:13:08
5.75958,0.00575958,0.0426563,3.44346,00:13:08
5.70034,0.00570034,0.0426563,3.44165,00:13:08
5.64223,0.00564223,0.0418359,3.43983,00:13:08
5.58527,0.00558527,0.0410156,3.438,00:13:08
5.53058,0.00553058,0.039375,3.4362,00:13:08
5.47475,0.00547475,0.0401953,3.43433,00:13:08
5.4212,0.0054212,0.0385547,3.43249,00:13:08
5.36766,0.00536766,0.0385547,3.43061,00:13:08
5.31411,0.00531411,0.0385547,3.4287,00:13:08
5.26284,0.00526284,0.0369141,3.42682,00:13:08
5.21157,0.00521157,0.0369141,3.42491,00:13:08
5.16144,0.00516144,0.0360937,3.423,00:13:08
5.11131,0.00511131,0.0360937,3.42106,00:13:08
5.06118,0.00506118,0.0360937,3.41908,00:13:08
5.01333,0.00501333,0.0344531,3.41715,00:13:09
4.96548,0.00496548,0.0344531,3.41519,00:13:09
4.91876,0.00491876,0.0336328,3.41324,00:13:09
4.87091,0.00487091,0.0344531,3.41121,00:13:09
4.82534,0.00482534,0.0328125,3.40925,00:13:09
4.77977,0.00477977,0.0328125,3.40725,00:13:09
4.73305,0.00473305,0.0336328,3.40516,00:13:09
4.68634,0.00468634,0.0336328,3.40304,00:13:09
4.64077,0.00464077,0.0328125,3.40094,00:13:09
4.59406,0.00459406,0.0336328,3.39875,00:13:09
4.54734,0.00454734,0.0336328,3.39652,00:13:09
4.50177,0.00450177,0.0328125,3.39431,00:13:09
4.4562,0.0044562,0.0328125,3.39207,00:13:09
4.41063,0.00441063,0.0328125,3.38979,00:13:09
4.36505,0.00436505,0.0328125,3.38748,00:13:09
4.31834,0.00431834,0.0336328,3.38507,00:13:09
4.27163,0.00427163,0.0336328,3.38262,00:13:09
4.22378,0.00422378,0.0344531,3.38007,00:13:09
4.17706,0.00417706,0.0336328,3.37755,00:13:09
4.13035,0.00413035,0.0336328,3.37498,00:13:09
4.08364,0.00408364,0.0336328,3.37238,00:13:10
4.03693,0.00403693,0.0336328,3.36973,00:13:10
3.99135,0.00399135,0.0328125,3.36711,00:13:10
3.94692,0.00394692,0.0319922,3.36452,00:13:10
3.90135,0.00390135,0.0328125,3.36182,00:13:10
3.85577,0.00385578,0.0328125,3.35909,00:13:10
3.81134,0.00381134,0.0319922,3.35638,00:13:10
3.76805,0.00376805,0.0311719,3.35371,00:13:10
3.72361,0.00372361,0.0319922,3.35093,00:13:10
3.68146,0.00368146,0.0303516,3.34825,00:13:10
3.63816,0.00363816,0.0311719,3.34547,00:13:10
3.59487,0.00359487,0.0311719,3.34265,00:13:10
3.55272,0.00355272,0.0303516,3.33987,00:13:10
3.51056,0.00351056,0.0303516,3.33705,00:13:10
3.46955,0.00346954,0.0295312,3.33428,00:13:10
3.42967,0.00342967,0.0287109,3.33155,00:13:10
3.38865,0.00338865,0.0295312,3.3287,00:13:10
3.34764,0.00334764,0.0295312,3.32582,00:13:10
3.30776,0.00330776,0.0287109,3.32299,00:13:10
3.26675,0.00326675,0.0295312,3.32004,00:13:10
3.22573,0.00322573,0.0295312,3.31706,00:13:11
3.18585,0.00318585,0.0287109,3.31413,00:13:11
3.14598,0.00314598,0.0287109,3.31116,00:13:11
3.1061,0.0031061,0.0287109,3.30816,00:13:11
3.06623,0.00306622,0.0287109,3.30512,00:13:11
3.02749,0.00302749,0.0278906,3.30214,00:13:11
2.98875,0.00298875,0.0278906,3.29912,00:13:11
2.95001,0.00295001,0.0278906,3.29607,00:13:11
2.91242,0.00291242,0.0270703,3.29308,00:13:11
2.87368,0.00287368,0.0278906,3.28997,00:13:11
2.83608,0.00283608,0.0270703,3.28692,00:13:11
2.79734,0.00279734,0.0278906,3.28374,00:13:11
2.75975,0.00275975,0.0270703,3.28063,00:13:11
2.72215,0.00272215,0.0270703,3.2775,00:13:11
2.68455,0.00268455,0.0270703,3.27433,00:13:11
2.64809,0.00264809,0.02625,3.27123,00:13:11
2.6105,0.0026105,0.0270703,3.26801,00:13:11
2.57404,0.00257404,0.02625,3.26486,00:13:11
2.53644,0.00253644,0.0270703,3.26159,00:13:11
2.49998,0.00249998,0.02625,3.25839,00:13:11
2.46466,0.00246466,0.0254297,3.25526,00:13:12
2.42934,0.00242934,0.0254297,3.25212,00:13:12
2.39402,0.00239402,0.0254297,3.24895,00:13:12
2.35871,0.00235871,0.0254297,3.24576,00:13:12
2.32339,0.00232339,0.0254297,3.24255,00:13:12
2.28807,0.00228807,0.0254297,3.23932,00:13:12
2.25275,0.00225275,0.0254297,3.23606,00:13:12
2.21857,0.00221857,0.0246094,3.23289,00:13:12
2.18439,0.00218439,0.0246094,3.22971,00:13:12
2.14907,0.00214907,0.0254297,3.22639,00:13:12
2.11489,0.00211489,0.0246094,3.22317,00:13:12
2.08071,0.00208071,0.0246094,3.21993,00:13:12
