SOC (%), Capacity (mAh), Current (A), Voltage (V), Time
36.6147,0.0366147,0.214922,3.67407,10.85
36.3162,0.0363162,0.214922,3.67318,10.9
36.0166,0.0360166,0.215742,3.67231,10.95
35.7169,0.0357169,0.215742,3.67145,11
35.4184,0.0354184,0.214922,3.67062,11.05
35.1188,0.0351188,0.215742,3.66979,11.1
34.8191,0.0348191,0.215742,3.66898,11.15
34.5195,0.0345195,0.215742,3.66817,11.2
34.2198,0.0342198,0.215742,3.66737,11.25
33.9202,0.0339202,0.215742,3.66657,11.3
33.6206,0.0336206,0.215742,3.66578,11.35
33.3209,0.0333209,0.215742,3.66499,11.4
33.0213,0.0330213,0.215742,3.6642,11.45
32.7216,0.0327216,0.215742,3.6634,11.5
32.422,0.032422,0.215742,3.6626,11.55
32.1212,0.0321212,0.216562,3.66179,11.6
31.8204,0.0318204,0.216562,3.66097,11.65
31.5196,0.0315196,0.216562,3.66014,11.7
31.22,0.03122,0.215742,3.6593,11.75
30.9192,0.0309192,0.216562,3.65845,11.8
30.6173,0.0306173,0.217383,3.65757,11.85
30.3165,0.0303165,0.216562,3.65667,11.9
30.0146,0.0300146,0.217383,3.65576,11.95
29.7138,0.0297138,0.216562,3.65482,12
29.413,0.029413,0.216562,3.65386,12.05
29.1111,0.0291111,0.217383,3.65286,12.1
28.8103,0.0288103,0.216562,3.65184,12.15
28.5084,0.0285084,0.217383,3.65079,12.2
28.2065,0.0282065,0.217383,3.6497,12.25
27.9046,0.0279046,0.217383,3.64858,12.3
27.6026,0.0276026,0.217383,3.64742,12.35
27.2996,0.0272996,0.218203,3.64622,12.4
26.9977,0.0269977,0.217383,3.64498,12.45
26.6957,0.0266957,0.217383,3.6437,12.5
26.3938,0.0263938,0.217383,3.64236,12.55
26.0919,0.0260919,0.217383,3.64099,12.6
25.79,0.02579,0.217383,3.63957,12.65
25.4869,0.0254869,0.218203,3.63809,12.7
25.1839,0.0251839,0.218203,3.63656,12.75
24.8808,0.0248808,0.218203,3.63497,12.8
24.5777,0.0245777,0.218203,3.63332,12.85
24.2747,0.0242747,0.218203,3.63161,12.9
23.9716,0.0239716,0.218203,3.62984,12.95
23.6686,0.0236686,0.218203,3.62801,13
23.3644,0.0233644,0.219023,3.6261,13.05
23.0613,0.0230613,0.218203,3.62414,13.1
22.7571,0.0227571,0.219023,3.62209,13.15
22.454,0.022454,0.218203,3.61998,13.2
22.1521,0.0221521,0.217383,3.6178,13.25
21.8468,0.0218468,0.219844,3.61553,13.3
21.5483,0.0215483,0.214922,3.61323,13.35
21.2543,0.0212543,0.211641,3.61089,13.4
20.9593,0.0209593,0.212461,3.60846,13.45
20.6733,0.0206733,0.205898,3.60603,13.5
20.385,0.020385,0.207539,3.6035,13.55
20.1093,0.0201093,0.198516,3.60101,13.6
19.8496,0.0198496,0.187031,3.59859,13.65
19.5887,0.0195887,0.187852,3.5961,13.7
19.338,0.019338,0.180469,3.59365,13.75
19.0953,0.0190953,0.174727,3.59123,13.8
18.8606,0.0188606,0.168984,3.58885,13.85
18.6373,0.0186373,0.160781,3.58655,13.9
18.4208,0.0184208,0.155859,3.58428,13.95
18.2101,0.0182101,0.151758,3.58205,14
17.9993,0.0179993,0.151758,3.5798,14.05
17.7965,0.0177965,0.146016,3.57762,14.1
17.5971,0.0175971,0.143555,3.57545,14.15
17.408,0.017408,0.136172,3.57338,14.2
17.2189,0.0172189,0.136172,3.5713,14.25
17.0423,0.0170423,0.127148,3.56935,14.3
16.8645,0.0168645,0.127969,3.56738,14.35
16.6971,0.0166971,0.120586,3.56551,14.4
16.5273,0.0165273,0.122227,3.56361,14.45
16.3667,0.0163667,0.115664,3.56182,14.5
16.2083,0.0162083,0.114023,3.56004,14.55
16.0568,0.0160568,0.109102,3.55835,14.6
15.9041,0.0159041,0.109922,3.55664,14.65
15.7537,0.0157537,0.108281,3.55495,14.7
15.6113,0.0156113,0.102539,3.55336,14.75
15.4666,0.0154666,0.10418,3.55174,14.8
15.3287,0.0153287,0.0992578,3.55021,14.85
15.1909,0.0151909,0.0992578,3.54867,14.9
15.0564,0.0150564,0.0967969,3.54718,14.95
14.9277,0.0149277,0.0926953,3.54576,15
14.7955,0.0147955,0.0951562,3.54431,15.05
14.6622,0.0146622,0.0959766,3.54284,15.1
14.5346,0.0145346,0.091875,3.54145,15.15
14.4104,0.0144104,0.0894141,3.5401,15.2
14.2851,0.0142851,0.0902344,3.53875,15.25
14.1655,0.0141655,0.0861328,3.53746,15.3
14.0447,0.0140447,0.0869531,3.53617,15.35
13.9251,0.0139251,0.0861328,3.53489,15.4
13.8077,0.0138077,0.0844922,3.53365,15.45
13.6904,0.0136904,0.0844922,3.53242,15.5
13.5753,0.0135753,0.0828516,3.53122,15.55
13.4648,0.0134648,0.0795703,3.53008,15.6
13.3554,0.0133554,0.07875,3.52895,15.65
13.2472,0.0132472,0.0779297,3.52784,15.7
13.1378,0.0131378,0.07875,3.52674,15.75
13.0319,0.0130319,0.0762891,3.52567,15.8
12.9248,0.0129248,0.0771094,3.5246,15.85
12.8188,0.0128188,0.0762891,3.52355,15.9
12.7128,0.0127128,0.0762891,3.52251,15.95
12.6114,0.0126114,0.0730078,3.52153,16
12.51,0.01251,0.0730078,3.52055,16.05
12.4075,0.0124075,0.0738281,3.51957,16.1
12.305,0.012305,0.0738281,3.5186,16.15
12.2058,0.0122058,0.0713672,3.51767,16.2
12.1079,0.0121079,0.0705469,3.51677,16.25
12.0087,0.0120087,0.0713672,3.51586,16.3
11.9096,0.0119096,0.0713672,3.51496,16.35
11.8105,0.0118105,0.0713672,3.51408,16.4
11.7125,0.0117125,0.0705469,3.51321,16.45
11.618,0.011618,0.0680859,3.51238,16.5
11.5234,0.0115234,0.0680859,3.51157,16.55
11.4288,0.0114288,0.0680859,3.51076,16.6
11.3365,0.0113365,0.0664453,3.50999,16.65
11.2443,0.0112443,0.0664453,3.50922,16.7
11.1508,0.0111508,0.0672656,3.50846,16.75
11.0585,0.0110586,0.0664453,3.50772,16.8
10.9651,0.0109651,0.0672656,3.50697,16.85
10.874,0.010874,0.065625,3.50626,16.9
10.784,0.010784,0.0648047,3.50557,16.95
10.6962,0.0106962,0.0631641,3.5049,17
10.6062,0.0106062,0.0648047,3.50423,17.05
10.5162,0.0105162,0.0648047,3.50357,17.1
10.4274,0.0104274,0.0639844,3.50293,17.15
10.3385,0.0103385,0.0639844,3.5023,17.2
10.2519,0.0102519,0.0623437,3.50169,17.25
10.163,0.010163,0.0639844,3.50108,17.3
10.0765,0.0100765,0.0623437,3.5005,17.35
9.98987,0.00998987,0.0623437,3.49993,17.4
9.90442,0.00990442,0.0615234,3.49938,17.45
9.81669,0.00981669,0.0631641,3.49883,17.5
9.73124,0.00973124,0.0615234,3.49829,17.55
9.64693,0.00964693,0.0607031,3.49777,17.6
9.56262,0.00956262,0.0607031,3.49724,17.65
9.47945,0.00947945,0.0598828,3.49673,17.7
9.39628,0.00939628,0.0598828,3.49622,17.75
9.31311,0.00931311,0.0598828,3.4957,17.8
9.23108,0.00923108,0.0590625,3.49518,17.85
9.14791,0.00914791,0.0598828,3.49465,17.9
9.06473,0.00906473,0.0598828,3.49411,17.95
8.98498,0.00898498,0.0574219,3.49358,18
8.90523,0.00890523,0.0574219,3.49304,18.05
8.82434,0.00882434,0.0582422,3.49248,18.1
8.74231,0.00874231,0.0590625,3.49189,18.15
8.66142,0.00866141,0.0582422,3.4913,18.2
8.58052,0.00858052,0.0582422,3.49068,18.25
8.49963,0.00849963,0.0582422,3.49004,18.3
8.42102,0.00842102,0.0566016,3.4894,18.35
8.34126,0.00834126,0.0574219,3.48873,18.4
8.26379,0.00826379,0.0557812,3.48805,18.45
8.18518,0.00818518,0.0566016,3.48734,18.5
8.10656,0.00810657,0.0566016,3.48659,18.55
8.02795,0.00802795,0.0566016,3.48582,18.6
7.95048,0.00795048,0.0557812,3.48503,18.65
7.873,0.007873,0.0557812,3.48421,18.7
7.79667,0.00779667,0.0549609,3.48336,18.75
7.72147,0.00772147,0.0541406,3.48249,18.8
7.64628,0.00764628,0.0541406,3.48159,18.85
7.57222,0.00757222,0.0533203,3.48067,18.9
7.49817,0.00749817,0.0533203,3.47971,18.95
7.42411,0.00742411,0.0533203,3.47872,19
7.35006,0.00735006,0.0533203,3.47768,19.05
7.276,0.007276,0.0533203,3.47661,19.1
7.20536,0.00720536,0.0508594,3.47554,19.15
7.13358,0.00713358,0.0516797,3.47442,19.2
7.06295,0.00706295,0.0508594,3.47328,19.25
6.99231,0.00699231,0.0508594,3.47209,19.3
6.92281,0.00692281,0.0500391,3.47088,19.35
6.85103,0.00685103,0.0516797,3.46959,19.4
6.78267,0.00678267,0.0492187,3.46831,19.45
6.71431,0.00671431,0.0492187,3.46699,19.5
6.64595,0.00664595,0.0492187,3.46563,19.55
6.58101,0.00658101,0.0467578,3.46429,19.6
6.51493,0.00651493,0.0475781,3.46289,19.65
6.44999,0.00644999,0.0467578,3.46147,19.7
6.38505,0.00638505,0.0467578,3.46,19.75
6.32125,0.00632125,0.0459375,3.45852,19.8
6.25858,0.00625858,0.0451172,3.45702,19.85
6.19592,0.00619592,0.0451172,3.45547,19.9
6.13554,0.00613554,0.0434766,3.45395,19.95
6.07515,0.00607515,0.0434766,3.45237,20
6.01591,0.00601591,0.0426563,3.45079,20.05
5.95666,0.00595666,0.0426563,3.44917,20.1
5.89742,0.00589742,0.0426563,3.4475,20.15
5.83931,0.00583931,0.0418359,3.44583,20.2
5.78007,0.00578007,0.0426563,3.44407,20.25
5.72424,0.00572424,0.0401953,3.44238,20.3
5.66841,0.00566841,0.0401953,3.44065,20.35
5.61373,0.00561373,0.039375,3.43892,20.4
5.56018,0.00556018,0.0385547,3.43718,20.45
5.50663,0.00550663,0.0385547,3.4354,20.5
5.45422,0.00545422,0.0377344,3.43363,20.55
5.40181,0.00540181,0.0377344,3.43182,20.6
5.3494,0.0053494,0.0377344,3.42996,20.65
5.29813,0.00529813,0.0369141,3.42812,20.7
5.24686,0.00524686,0.0369141,3.42623,20.75
5.19673,0.00519673,0.0360937,3.42435,20.8
5.14774,0.00514774,0.0352734,3.42248,20.85
5.09989,0.00509989,0.0344531,3.42061,20.9
5.05204,0.00505204,0.0344531,3.41871,20.95
5.00419,0.00500419,0.0344531,3.41678,21
4.95634,0.00495634,0.0344531,3.41481,21.05
4.90849,0.00490849,0.0344531,3.41281,21.1
4.86064,0.00486064,0.0344531,3.41077,21.15
4.81164,0.00481164,0.0352734,3.40865,21.2
4.76607,0.00476607,0.0328125,3.40664,21.25
4.7205,0.0047205,0.0328125,3.40459,21.3
4.67379,0.00467379,0.0336328,3.40246,21.35
4.62707,0.00462707,0.0336328,3.4003,21.4
4.5815,0.0045815,0.0328125,3.39815,21.45
4.53479,0.00453479,0.0336328,3.39592,21.5
4.48808,0.00448808,0.0336328,3.39364,21.55
4.4425,0.0044425,0.0328125,3.39139,21.6
4.39693,0.00439693,0.0328125,3.3891,21.65
4.3525,0.0043525,0.0319922,3.38683,21.7
4.30579,0.00430579,0.0336328,3.38441,21.75
4.26021,0.00426021,0.0328125,3.38202,21.8
4.2135,0.0042135,0.0336328,3.37952,21.85
4.16679,0.00416679,0.0336328,3.37698,21.9
4.12121,0.00412121,0.0328125,3.37447,21.95
4.07792,0.00407792,0.0311719,3.37205,22
4.03349,0.00403349,0.0319922,3.36953,22.0499
3.98905,0.00398905,0.0319922,3.36698,22.0999
3.94462,0.00394462,0.0319922,3.36438,22.1499
3.90019,0.00390019,0.0319922,3.36175,22.1999
3.85689,0.00385689,0.0311719,3.35915,22.2499
3.8136,0.0038136,0.0311719,3.35652,22.2999
3.7703,0.0037703,0.0311719,3.35385,22.3499
3.72815,0.00372815,0.0303516,3.35121,22.3999
3.68599,0.00368599,0.0303516,3.34854,22.4499
3.64384,0.00364384,0.0303516,3.34584,22.4999
3.60168,0.00360168,0.0303516,3.3431,22.5499
3.55953,0.00355953,0.0303516,3.34032,22.5999
3.51624,0.00351624,0.0311719,3.33743,22.6499
3.47522,0.00347522,0.0295312,3.33466,22.6999
3.4342,0.0034342,0.0295312,3.33186,22.7499
3.39205,0.00339205,0.0303516,3.32894,22.7999
3.34989,0.00334989,0.0303516,3.32598,22.8499
3.31002,0.00331002,0.0287109,3.32315,22.8999
3.269,0.003269,0.0295312,3.32021,22.9499
3.22913,0.00322913,0.0287109,3.31731,22.9999
3.19039,0.00319039,0.0278906,3.31446,23.0499
3.15051,0.00315051,0.0287109,3.3115,23.0999
3.11064,0.00311064,0.0287109,3.3085,23.1499
3.0719,0.0030719,0.0278906,3.30555,23.1999
3.03316,0.00303316,0.0278906,3.30258,23.2499
2.99329,0.00299329,0.0287109,3.29948,23.2999
2.95455,0.00295455,0.0278906,3.29643,23.3499
2.91581,0.00291581,0.0278906,3.29335,23.3999
2.87708,0.00287708,0.0278906,3.29024,23.4499
2.83834,0.00283834,0.0278906,3.2871,23.4999
2.80074,0.00280074,0.0270703,3.28402,23.5499
2.76314,0.00276314,0.0270703,3.28092,23.5999
2.72555,0.00272555,0.0270703,3.27778,23.6499
2.68795,0.00268795,0.0270703,3.27462,23.6999
2.65035,0.00265035,0.0270703,3.27142,23.7499
2.61389,0.00261389,0.02625,3.2683,23.7999
2.57743,0.00257743,0.02625,3.26515,23.8499
2.53984,0.00253984,0.0270703,3.26188,23.8999
2.50452,0.00250452,0.0254297,3.25879,23.9499
2.46806,0.00246806,0.02625,3.25556,23.9999
2.43274,0.00243274,0.0254297,3.25242,24.0499
2.39742,0.00239742,0.0254297,3.24926,24.0999
2.3621,0.0023621,0.0254297,3.24607,24.1499
2.32678,0.00232678,0.0254297,3.24286,24.1999
2.29032,0.00229032,0.02625,3.23952,24.2499
2.25501,0.00225501,0.0254297,3.23627,24.2999
2.21969,0.00221969,0.0254297,3.233,24.3499
2.18665,0.00218665,0.0237891,3.22992,24.3999
2.15247,0.00215247,0.0246094,3.22671,24.4499
2.11829,0.00211829,0.0246094,3.22349,24.4999
